식품명,에너지(kcal)
갈치젓_양념,149
멸치젓_양념,90
새우젓_양념,69
오징어젓_양념,60
꽃게장_간장,62
꽃게장_양념(고추가루),97
단무지,13
더덕장아찌,141
매실장아찌_우메보시(일본),65
무짠지,11
무초절임(치킨무),17
오이장아찌,14
오이지,21
미숫가루,70
육회,130
리소토/리조또_스파이시 씨푸드 리조또,148
리소토/리조또_치킨 크림 리조또,185
볶음밥_갈비천왕 치즈 치밥,208
볶음밥_달걀듬뿍 볶음밥,170
볶음밥_닭갈비 볶음밥,180
볶음밥_볼케이노 치즈 치밥,198
볶음밥_의성마늘 볶음밥,199
오므라이스_수플레 오믈렛 라이스,167
주먹밥_까르보나라 구운주먹밥,211
주먹밥_매콤 로제 구운주먹밥,209
감자빵_강원도알감자빵 (5개입),244
감자빵_강원도알감자빵,250
감자빵_감자쫀득볼,313
감자빵_못난이 감자크럼볼,211
감자빵_포슬쫀득 감자빵,284
건포도빵_건포도빵 (대),311
건포도빵_건포도빵 (소),310
건포도빵_우리쌀건포도브레드,265
계란빵_쌀계란빵,313
계란빵_트윈에그 브레드,238
기타빵_밤이랑고구마랑,315
기타빵_별님고구마,258
기타빵_춘천 감자빵,245
기타빵_까눌레,339
기타빵_달콤촉촉 고구마빵,273
기타빵_롤링넛츠,329
기타빵_씨앗가득고소함이찰떡,358
기타빵_얼그레이 까눌레,222
기타빵_오리지널 까눌레,222
기타빵_우리쌀 막걸리로 만든 초당옥수수빵,206
기타빵_카라멜아몬드,450
기타빵_톡톡쫄깃 옥수수빵,299
깨찰빵_깨찰빵,302
깨찰빵_깨찰빵,375
깨찰빵_씨앗찰빵,366
깨찰빵_쫀득쫀득한찰깨빵 (2개입),373
깨찰빵_쫀득쫀득한찰깨빵,373
깨찰빵_쫀득한모카찰깨빵,357
도넛_고구마품은 꽈배기,339
도넛_골드초코 허니비 도넛,479
도넛_글레이즈드 사워크림 도넛,426
도넛_글레이즈드 초콜릿 케익 도넛,416
도넛_글레이즈츄잉스타,404
도넛_기라델리민트초코링 도넛,388
도넛_깨찰 도넛,384
도넛_깨찰 도넛,444
도넛_뉴욕 치즈케익 도넛,369
도넛_뉴패스트리 도넛,408
도넛_다크초코링도넛,469
도넛_다크초코츄잉스타,444
도넛_단팥도너츠,304
도넛_단팥품은 꽈배기,330
도넛_달콤한 꿀도넛,343
도넛_달콤한꿀도넛 (3개입),348
도넛_달콤한꿀도넛 (4개입),350
도넛_달콤한꿀도넛 (5개입),349
도넛_달콤한 왕꽈배기,377
도넛_던킨카페모카롤,433
도넛_데니쉬 꽈배기,442
도넛_돌돌말린소시지 도넛,341
도넛_딸기 와플넛,416
도넛_딸기 우유크림 듬뿍 도넛,405
도넛_딸기마카롱 도넛,433
도넛_딸기츄이스티 도넛,450
도넛_또르체티 이탈리아 꽈배기과자,463
도넛_러블리듀얼하트 도넛,353
도넛_레이디버그 도넛,481
도넛_로투스 비스코프 도넛,456
도넛_루비초코 블라썸 도넛,400
도넛_못난이찹쌀고구마크림치즈 도넛,293
도넛_못난이찹쌀깨찰 도넛,560
도넛_못난이찹쌀 꽈배기,291
도넛_못난이찹쌀모짜렐라치즈 도넛,276
도넛_못난이찹쌀유자 도넛,271
도넛_못난이찹쌀팥 도넛,279
도넛_미니 오리지널 글레이즈드 도넛,439
도넛_미니찹쌀도너츠,466
도넛_미니찹쌀 도넛 (3개입),395
도넛_미니찹쌀 도넛 (4개입),393
도넛_미니찹쌀 도넛 (5개입),394
도넛_미니찹쌀 도넛,366
도넛_미니찹쌀 도넛,400
도넛_밀크크림 플라워 도넛,415
도넛_베리베리크림 도넛,365
